DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-01-28 12:54:39,0.3,0.6,83,1,0.01,0.03,20.1,44.8,C
2025-01-28 13:24:39,0.8,1.6,226,3,0.01,0.06,21.6,43.4,C
